tweet_id,timestamp,source,expanded_urls,rating_numerator,rating_denominator,name,dog_state,Link,Text,retweet_count,favorite_count,display_text_range,lang,day,month,date,year,jpg_url,img_num,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog
892177421306343426,2017-08-01 00:17:27+00:00,Twitter for iPhone,https://twitter.com/dog_rates/status/892177421306343426/photo/1,13,10,Tilly,None,https://t.co/0Xxu71qeIV,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. ",5457,30168,138,en,Tue,Aug,1,2017,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1,Chihuahua,0.324,True,Pekinese,0.091,True,Papillon,0.069,True
891815181378084864,2017-07-31 00:18:03+00:00,Twitter for iPhone,https://twitter.com/dog_rates/status/891815181378084864/photo/1,12,10,Archie,None,https://t.co/wUnZnhtVJB,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. ,3598,22708,121,en,Mon,Jul,31,2017,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1,Chihuahua,0.716,True,Malamute,0.078,True,Kelpie,0.031,True
891689557279858688,2017-07-30 15:58:51+00:00,Twitter for iPhone,https://twitter.com/dog_rates/status/891689557279858688/photo/1,13,10,Darla,None,https://t.co/tD36da7qLQ,This is Darla. She commenced a snooze mid meal. happens to the best of us ,7490,38067,79,en,Sun,Jul,30,2017,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1,Paper_towel,0.17,False,Labrador_retriever,0.168,True,Spatula,0.041,False
891327558926688256,2017-07-29 16:00:24+00:00,Twitter for iPhone,"https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1",12,10,Franklin,None,https://t.co/AtUZn91f7f,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. #BarkWeek ",8051,36343,138,en,Sat,Jul,29,2017,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2,Basset,0.556,True,English_springer,0.226,True,German_short-haired_pointer,0.175,True
891087950875897856,2017-07-29 00:08:17+00:00,Twitter for iPhone,https://twitter.com/dog_rates/status/891087950875897856/photo/1,13,10,Null,None,https://t.co/kQ04fDDRmh,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. (IG: tucker_marlo) #BarkWeek ,2696,18333,138,en,Sat,Jul,29,2017,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1,Chesapeake_Bay_retriever,0.426,True,Irish_terrier,0.116,True,Indian_elephant,0.077,False
890971913173991426,2017-07-28 16:27:12+00:00,Twitter for iPhone,"https://gofundme.com/ydvmve-surgery-for-jax,https://twitter.com/dog_rates/status/890971913173991426/photo/1",13,10,Jax,None,https://t.co/Zr4hWfAs1H,"Meet Jax. He enjoys ice cream so much he gets nervous around it. help Jax enjoy more things by clicking below

 ",1742,10676,140,en,Fri,Jul,28,2017,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1,Appenzeller,0.342,True,Border_collie,0.199,True,Ice_lolly,0.194,False
890729181411237888,2017-07-28 00:22:40+00:00,Twitter for iPhone,"https://twitter.com/dog_rates/status/890729181411237888/photo/1,https://twitter.com/dog_rates/status/890729181411237888/photo/1",13,10,Null,None,https://t.co/v0nONBcwxq,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. ,16386,58634,118,en,Fri,Jul,28,2017,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2,Pomeranian,0.566,True,Eskimo_dog,0.178,True,Pembroke,0.077,True
890609185150312448,2017-07-27 16:25:51+00:00,Twitter for iPhone,https://twitter.com/dog_rates/status/890609185150312448/photo/1,13,10,Zoey,None,https://t.co/9TwLuAGH0b,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. #BarkWeek ,3747,25257,122,en,Thu,Jul,27,2017,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1,Irish_terrier,0.488,True,Irish_setter,0.193,True,Chesapeake_Bay_retriever,0.118,True
890240255349198849,2017-07-26 15:59:51+00:00,Twitter for iPhone,https://twitter.com/dog_rates/status/890240255349198849/photo/1,14,10,Cassie,doggo,https://t.co/t1bfwz5S2A,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. so elegant much sophisticate ,6329,28797,133,en,Wed,Jul,26,2017,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1,Pembroke,0.511,True,Cardigan,0.451,True,Chihuahua,0.029,True
890006608113172480,2017-07-26 00:31:25+00:00,Twitter for iPhone,"https://twitter.com/dog_rates/status/890006608113172480/photo/1,https://twitter.com/dog_rates/status/890006608113172480/photo/1",13,10,Koda,None,https://t.co/dVPW0B0Mme,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. would risk a petting #BarkWeek ,6367,27800,130,en,Wed,Jul,26,2017,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,1,Samoyed,0.958,True,Pomeranian,0.014,True,Chow,0.008,True
889880896479866881,2017-07-25 16:11:53+00:00,Twitter for iPhone,https://twitter.com/dog_rates/status/889880896479866881/photo/1,13,10,Bruno,None,https://t.co/u1XPQMl29g,This is Bruno. He is a service shark. Only gets out of the water to assist you. terrifyingly good boy ,4318,25272,107,en,Tue,Jul,25,2017,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,1,French_bulldog,0.377,True,Labrador_retriever,0.151,True,Muzzle,0.083,False
889665388333682689,2017-07-25 01:55:32+00:00,Twitter for iPhone,https://twitter.com/dog_rates/status/889665388333682689/photo/1,13,10,Null,puppo,https://t.co/BxvuXk0UCm,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. ,8673,43341,106,en,Tue,Jul,25,2017,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,1,Pembroke,0.966,True,Cardigan,0.027,True,Basenji,0.005,True
